season,teamName,name
1974–75,Washington Capitals,"Ron Anderson, Bob Gryp"
1976–77,Cleveland Barons,"Mike Fidler, Ken Kuzyk"
1977–78,Cleveland Barons,"Mike Fidler, Ken Kuzyk"
1980–81,Hartford Whalers,"Mike Fidler, Rick Meagher"
1981–82,Hartford Whalers,"Mike Fidler, Rick Meagher"
1982–83,Chicago Blackhawks,"Jack O'Callahan, Mike Fidler"
1984–85,Boston Bruins,"Cleon Daskalakis, Dave Silk"
1990–91,Toronto Maple Leafs,"Joe Sacco, Paul Fenton"
1990–91,Pittsburgh Penguins,"John Cullen, Scott Young"
1990–91,Hartford Whalers,"Scott Young, John Cullen"
1991–92,San Jose Sharks,"Paul Fenton, Mike Sullivan"
1991–92,Toronto Maple Leafs,"Dave Tomlinson, Joe Sacco"
1992–93,Pittsburgh Penguins,"Shawn McEachern, Peter Ahola"
1992–93,San Jose Sharks,"Peter Ahola, Mike Sullivan"
1992–93,Toronto Maple Leafs,"John Cullen, Joe Sacco, Dave Tomlinson"
1993–94,Winnipeg Jets (1979),"Dave Tomlinson, Keith Tkachuk"
1993–94,Toronto Maple Leafs,"John Cullen, David Sacco"
1993–94,Calgary Flames,"Mike Sullivan, Peter Ahola"
1993–94,Anaheim Ducks,"John Lilley, Joe Sacco"
1994–95,Anaheim Ducks,"David Sacco, Joe Sacco, John Lilley"
1994–95,Pittsburgh Penguins,"John Cullen, Shawn McEachern"
1995–96,Anaheim Ducks,"Joe Sacco, David Sacco, John Lilley"
1995–96,Boston Bruins,"Shawn McEachern, Phil Von Stefenelli"
1995–96,Winnipeg Jets (1979),"Ed Ronan, Keith Tkachuk"
1996–97,Calgary Flames,"Mike Sullivan, Chris O'Sullivan"
1996–97,Colorado Avalanche,"Scott Young, Rich Brennan"
1996–97,New York Islanders,"Nick Vachon, Scott Lachance"
1996–97,Ottawa Senators,"Shawn McEachern, Phil Von Stefenelli"
1997–98,Anaheim Ducks,"Scott Young, Joe Sacco"
1997–98,Boston Bruins,"Mike Sullivan, Shawn Bates"
1997–98,Edmonton Oilers,"Mike Grier, Doug Friedman"
1997–98,New York Islanders,"Joe Sacco, Scott Lachance"
1998–99,New York Islanders,"Joe Sacco, Scott Lachance"
1998–99,Phoenix Coyotes,"Mike Sullivan, Keith Tkachuk"
1998–99,Edmonton Oilers,"Mike Grier, Tom Poti, Dan LaCouture"
1999–00,Edmonton Oilers,"Dan LaCouture, Tom Poti, Mike Grier"
1999–00,Phoenix Coyotes,"Mike Sullivan, Keith Tkachuk"
1999–00,Vancouver Canucks,"Adrian Aucoin, Chris O'Sullivan"
2000–01,Chicago Blackhawks,"Michel Larocque, Tony Amonte"
2000–01,Edmonton Oilers,"Dan LaCouture, Mike Grier, Tom Poti"
2000–01,Phoenix Coyotes,"Keith Tkachuk, Mike Sullivan"
2000–01,St. Louis Blues,"Keith Tkachuk, Scott Young"
2000–01,Vancouver Canucks,"Scott Lachance, Adrian Aucoin"
2001–02,Edmonton Oilers,"Mike Grier, Tom Poti"
2001–02,New York Islanders,"Adrian Aucoin, Shawn Bates"
2001–02,St. Louis Blues,"Keith Tkachuk, Scott Young"
2002–03,Atlanta Thrashers,"Joe DiPenta, Shawn McEachern"
2002–03,New York Islanders,"Shawn Bates, Rick DiPietro, Adrian Aucoin"
2002–03,New York Rangers,"Dan LaCouture, Tom Poti"
2002–03,Philadelphia Flyers,"Joe Sacco, Tony Amonte"
2003–04,Columbus Blue Jackets,"Scott Lachance, Mike Pandolfo"
2003–04,Philadelphia Flyers,"Tony Amonte, Freddy Meyer"
2003–04,New York Rangers,"Dan LaCouture, Tom Poti"
2003–04,Buffalo Sabres,"Mike Grier, Chris Drury"
2003–04,New York Islanders,"Rick DiPietro, Adrian Aucoin, Shawn Bates"
2005–06,Boston Bruins,"Shawn McEachern, Dan LaCouture"
2005–06,Buffalo Sabres,"Chris Drury, Mike Grier"
2005–06,New York Islanders,"Rick DiPietro, Shawn Bates"
2005–06,St. Louis Blues,"Scott Young, Keith Tkachuk"
2006–07,Chicago Blackhawks,"Carl Corazzini, Adrian Aucoin"
2006–07,New Jersey Devils,"Dan LaCouture, Jay Pandolfo"
2006–07,New York Islanders,"Rick DiPietro, Tom Poti, Freddy Meyer, Shawn Bates"
2007–08,New York Islanders,"Freddy Meyer, Rick DiPietro, Shawn Bates"
2007–08,Washington Capitals,"Chris Bourque, Tom Poti"
2008–09,Pittsburgh Penguins,"John Curry, Ryan Whitney"
2008–09,Calgary Flames,"Adrian Aucoin, David Van der Gulik"
